Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-9dvt,branch-ovqe,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID
22,1784200423856,16/07/2026 11:13:43,1784200423856,2,16/07/2026 13:13:43,273725,7,questionnaire-whir,,57245864,BLINDED,16363833,,complete,,,mobile,Xiaomi 2312DRAABG,Android 14,Facebook 569.0.0.44.91,393x873,392x743,,,0,Pytania demograficzne,4,AndWith,continue,,,,,info,,END,,16849,,,,
1,1784204005108,16/07/2026 12:13:25,1784204005108,2,16/07/2026 14:13:25,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,,,,,info,,BEGIN,,,,,,
13,1784204026870,16/07/2026 12:13:46,1784204026870,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Zaznacz swoją płeć:**,response,value,Kobieta,,,Mężczyzna|Kobieta|Inna|Wolę nie odpowiadać,sex,1,object-2
14,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Zaznacz swoją płeć:**,response,quantised,2,,,Mężczyzna|Kobieta|Inna|Wolę nie odpowiadać,sex,1,object-2
15,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Podaj swój wiek w pełnych liczbach:**,response,value,22,,,,age,2,object-3
16,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Jaki jest Twój poziom wykształcenia?**,response,value,wykształcenie wyższe,,,wykształcenie podstawowe|wykształcenie średnie|w trakcie studiów|wykształcenie wyższe,edu,3,object-4
17,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Jaki jest Twój poziom wykształcenia?**,response,quantised,4,,,wykształcenie podstawowe|wykształcenie średnie|w trakcie studiów|wykształcenie wyższe,edu,3,object-4
18,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Jak oceniasz swoją znajomość języka polskiego?**,response,value,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)",,,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)|Bardzo dobrze, posługuję się nim na co dzień|Dobrze|Średnio|Słabo",polish,4,object-5
19,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Jak oceniasz swoją znajomość języka polskiego?**,response,quantised,1,,,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)|Bardzo dobrze, posługuję się nim na co dzień|Dobrze|Średnio|Słabo",polish,4,object-5
20,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Jakie jest Twoje doświadczenie z logiką?**,response,value,Logika w szkole średniej ,,,Więcej niż dwa semestry logiki na studiach|1-2 semestry na studiach|Logika w szkole średniej |Brak doświadczenia,logic,5,object-6
21,1784204026871,16/07/2026 12:13:46,1784204026871,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,Page 1,rpksvw,1,**Jakie jest Twoje doświadczenie z logiką?**,response,quantised,3,,,Więcej niż dwa semestry logiki na studiach|1-2 semestry na studiach|Logika w szkole średniej |Brak doświadczenia,logic,5,object-6
22,1784204026872,16/07/2026 12:13:46,1784204026872,2,16/07/2026 14:13:46,273725,7,questionnaire-whir,,57247352,BLINDED,16364258,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,1440x900,1061x718,,,0,Pytania demograficzne,4,CondWith,continue,,,,,info,,END,,21717,,,,
1,1784208469556,16/07/2026 13:27:49,1784208469556,2,16/07/2026 15:27:49,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,,,,,info,,BEGIN,,,,,,
13,1784208530051,16/07/2026 13:28:50,1784208530051,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Zaznacz swoją płeć:**,response,value,Kobieta,,,Mężczyzna|Kobieta|Inna|Wolę nie odpowiadać,sex,1,object-2
14,1784208530052,16/07/2026 13:28:50,1784208530052,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Zaznacz swoją płeć:**,response,quantised,2,,,Mężczyzna|Kobieta|Inna|Wolę nie odpowiadać,sex,1,object-2
15,1784208530052,16/07/2026 13:28:50,1784208530052,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Podaj swój wiek w pełnych liczbach:**,response,value,19,,,,age,2,object-3
16,1784208530052,16/07/2026 13:28:50,1784208530052,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Jaki jest Twój poziom wykształcenia?**,response,value,w trakcie studiów,,,wykształcenie podstawowe|wykształcenie średnie|w trakcie studiów|wykształcenie wyższe,edu,3,object-4
17,1784208530052,16/07/2026 13:28:50,1784208530052,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Jaki jest Twój poziom wykształcenia?**,response,quantised,3,,,wykształcenie podstawowe|wykształcenie średnie|w trakcie studiów|wykształcenie wyższe,edu,3,object-4
18,1784208530052,16/07/2026 13:28:50,1784208530052,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Jak oceniasz swoją znajomość języka polskiego?**,response,value,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)",,,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)|Bardzo dobrze, posługuję się nim na co dzień|Dobrze|Średnio|Słabo",polish,4,object-5
19,1784208530052,16/07/2026 13:28:50,1784208530052,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Jak oceniasz swoją znajomość języka polskiego?**,response,quantised,1,,,"Bardzo dobrze, język polski jest moim pierwszym językiem (językiem ojczystym)|Bardzo dobrze, posługuję się nim na co dzień|Dobrze|Średnio|Słabo",polish,4,object-5
20,1784208530052,16/07/2026 13:28:50,1784208530052,2,16/07/2026 15:28:50,273725,7,questionnaire-whir,,57249481,BLINDED,16364752,,complete,,,mobile,Apple iPhone,iOS 18.7,Facebook 569.0.0.16.107,428x926,428x742,,,0,Pytania demograficzne,4,CondLack,continue,Page 1,rpksvw,1,**Jakie jest Twoje doświadczenie z logiką?**,response,value,1-2 semestry na studiach,,,Więcej niż dwa semestry logiki na studiach|1-2 semestry na studiach|Logika w szkole średniej |Brak doświadczenia,logic,5,object-6
